content/models/blockers/TreeStump/TreeStump, 0, 20, 0, 0, 0, 0
content/models/blockers/TrashCan/TrashCan, 0, 35, 0, 0, 0, 0
content/models/blockers/Tree/Tree, 2, 50, 1, 0, -75, 0
content/models/blockers/TreeStump/TreeStump, 0, 70, 0, 0, 0, 0
content/models/blockers/TrashCan/TrashCan, 0, 80, 0, 0, 0, 0
content/models/blockers/TreeStump/TreeStump, 0, 95, 0, 0, 0, 0
content/models/blockers/Tree/Tree, 2, 105, 1, 0, -75, 0
content/models/blockers/TrashCan/TrashCan, 0, 120, 0, 0, 0, 0
content/models/blockers/Tree/Tree, 2, 130, 1, 0, -75, 0
content/models/blockers/Tree/Tree, 2, 145, 1, 0, -75, 0
content/models/blockers/TreeStump/TreeStump, 0, 155, 0, 0, 0, 0
content/models/blockers/TreeStump/TreeStump, 0, 165, 0, 0, 0, 0
content/models/blockers/TreeStump/TreeStump, 0, 180, 0, 0, 0, 0
content/models/blockers/TreeStump/TreeStump, 0, 190, 0, 0, 0, 0
content/models/blockers/TrashCan/TrashCan, 0, 200, 0, 0, 0, 0
content/models/blockers/TreeStump/TreeStump, 0, 215, 0, 0, 0, 0
content/models/blockers/Tree/Tree, 2, 225, 1, 0, -75, 0
content/models/blockers/TrashCan/TrashCan, 0, 235, 0, 0, 0, 0
