content/models/blockers/TreeStump/TreeStump, 10, 0, 0, 0, 0, 0
content/models/blockers/LeftMover/LeftMover, 20, 0, 0, 0, 0, 0
content/models/blockers/RightMover/RightMover, 30, 0, 0, 0, 0, 0
content/models/blockers/Tree/Tree, 45, 0, 0, 0, 0, 0
content/models/blockers/LeftMover/LeftMover, 50, 0, 0, 0, 0, 0
content/models/blockers/TreeStump/TreeStump, 60, 0, 0, 0, 0, 0
content/models/blockers/TreeStump/TreeStump, 65, 0, 0, 0, 0, 0
content/models/blockers/RightMover/RightMover, 70, 0, 0, 0, 0, 0
content/models/blockers/TrashCan/TrashCan, 80, 0, 0, 0, 0, 0
content/models/blockers/LeftMover/LeftMover, 85, 0, 0, 0, 0, 0
content/models/blockers/Tree/Tree, 90, 0, 0, 0, 0, 0
content/models/blockers/Tree/Tree, 95, 0, 0, 0, 0, 0
content/models/blockers/TreeStump/TreeStump, 105, 0, 0, 0, 0, 0
content/models/blockers/Tree/Tree, 110, 0, 0, 0, 0, 0
content/models/blockers/RightMover/RightMover, 115, 0, 0, 0, 0, 0
content/models/blockers/TrashCan/TrashCan, 120, 0, 0, 0, 0, 0
